symbol,prix_actuel,prix_initial,prix_max,prix_min,prix_moyen,variation_totale_pct,volatilite_quotidienne_pct,tendance,nb_jours_donnees
74SW,38.8,38.5,39.3,38.5,38.93333333333334,0.7792207792207718,0.7403243949263297,0.07166666666666809,9
AAA,4.05,3.55,4.05,3.55,3.781111111111111,14.084507042253522,1.9533913811034151,0.07116666666666684,9
AALB,30.22,29.1,30.32,28.62,29.488571428571426,3.8487972508590977,2.8334904036092152,0.1600000000000004,7
AB,1.218,1.224,1.23,1.194,1.208222222222222,-0.490196078431373,1.5964689339498854,-0.00019999999999999017,9
ABCA,5.93,5.94,6.03,5.85,5.941666666666666,-0.1683501683501797,1.5250351452763833,0.0021666666666666883,9
ABEO,9.12,9.44,9.6,9.12,9.32,-3.3898305084745797,1.930892545432976,-0.04233333333333294,9
ABI,53.46,50.44,53.76,50.44,51.66142857142857,5.9873116574147565,1.888363522728342,0.5703571428571435,7
ABLD,4.48,4.8,4.9,4.48,4.686666666666666,-6.666666666666654,2.72497543062309,-0.05133333333333314,9
ABN,24.6,25.34,25.47,24.56,25.05285714285714,-2.9202841357537426,1.1310952251707527,-0.1446428571428568,7
ABNX,2.315,3.616,3.77,2.315,3.2592222222222222,-35.97898230088496,15.994584291047564,-0.1324833333333334,9
ABO,6.3,1.64,6.3,1.64,4.191111111111111,284.1463414634147,99.3445448756058,0.7661666666666664,9
ABVX,68.8,73.8,76.5,68.7,72.08888888888889,-6.775067750677508,3.157211612986098,-1.0499999999999954,9
AC,42.93,40.59,42.93,40.59,41.74777777777778,5.764966740576487,2.013909200182843,0.26033333333333336,9
ACA,15.56,16.3,16.3,15.51,15.76622222222222,-4.539877300613497,0.9118447913184674,-0.08763333333333284,9
ACAN,0.31,0.31,0.315,0.302,0.3098888888888889,0.0,1.5422387419392067,0.0006833333333333422,9
ACCB,0.0275,0.027,0.0275,0.0255,0.02642857142857143,1.8518518518518534,3.7175524270807814,3.571428571428828e-05,7
ACKB,222.4,230.2,230.2,221.4,225.10000000000005,-3.3883579496090284,0.851313186778967,-1.349999999999987,7
ACOMO,21.9,22.9,23.2,21.9,22.71,-4.366812227074236,1.2902192415793234,-0.20249999999999918,7
AD,34.33,34.28,34.76,34.21,34.42928571428571,0.14585764294048179,0.8398820959173633,-0.03178571428571467,7
ADOC,7.62,7.94,8.91,7.62,8.177777777777777,-4.030226700251893,7.229895937230738,0.05549999999999997,9
ADP,113.3,112.6,113.3,110.8,112.23333333333332,0.6216696269982264,1.1348410313371686,0.03499999999999892,9
ADYEN,1433.0,1365.8,1442.6,1365.8,1402.2571428571428,4.920193293307955,1.844106872728711,10.164285714285757,7
AED,65.7,62.26,65.7,62.26,63.62428571428571,5.5252168326373345,1.0062642907907469,0.535714285714291,7
AELIS,1.225,1.2,1.275,1.016,1.145125,2.0833333333333446,9.126345409826824,0.01867857142857147,8
AF,13.685,12.99,13.685,12.785,13.313333333333334,5.3502694380292555,3.12047646270853,0.0629666666666666,9
AFMBS,1.45,1.63,1.63,1.45,1.5325,-11.04294478527607,0.9898133401175899,-0.06100000000000016,4
AFME,1.595,1.63,1.63,1.45,1.5458333333333334,-2.147239263803676,4.003660005294102,0.0037083333333334215,9
AGFB,1.077,0.91,1.098,0.91,0.9956428571428572,18.351648351648343,3.781186226937313,0.03119642857142859,7
AGIL,3.0,3.0,3.0,3.0,3.0,0.0,0.0,1.4970566549032267e-16,3
AGN,6.722,6.552,6.736,6.47,6.578571428571428,2.594627594627607,1.4222416925885415,0.03414285714285761,7
AGS,60.2,58.96,60.65,58.4,59.18285714285714,2.103120759837181,1.6179088321662172,0.2553571428571444,7
AI,178.06,174.48,178.06,174.48,176.45777777777778,2.0518110958276092,0.7716303814112193,0.24000000000000235,9
AIR,178.26,188.56,188.56,178.26,183.09333333333333,-5.462452269834541,1.3343519769604502,-1.473666666666665,9
AJAX,9.6,9.78,9.78,9.48,9.594285714285714,-1.8404907975460096,1.3898830707783338,-0.007142857142857188,7
AKE,61.4,58.06,61.4,57.36,59.38777777777778,5.752669652084045,2.062256518349567,0.44500000000000134,9
AKW,8.1,8.06,8.1,7.88,8.018888888888888,0.49627791563274376,0.9799030914561336,-0.0003333333333329574,9
AKZA,59.06,60.84,61.84,59.0,60.25428571428572,-2.92570677186062,1.4984186732490128,-0.4378571428571405,7
ALDV,0.088,0.088,0.088,0.088,0.08799999999999998,0.0,0.0,8.790287644517565e-19,7
ALFEN,10.0,9.318,10.0,9.17,9.510285714285713,7.319167203262507,1.8806495061991524,0.11771428571428583,7
ALLFG,6.016,5.81,6.105,5.81,5.936857142857143,3.5456110154905405,1.646238711538104,0.03846428571428598,7
ALO,20.47,21.06,21.06,19.465,20.27611111111111,-2.801519468186134,3.544294454206585,0.00933333333333338,9
ALTA,102.8,99.5,102.8,97.5,100.3,3.316582914572862,1.816567793404317,0.5083333333333343,9
ALX,1.42,1.44,1.47,1.41,1.4342857142857144,-1.3888888888888902,2.407827585700299,-0.004285714285714214,7
AM,272.4,278.6,278.6,269.2,272.1333333333334,-2.2254127781766133,0.9991685496062023,-0.3366666666666527,9
AMG,26.3,26.9,28.52,26.3,27.331428571428575,-2.2304832713754568,2.7876528444294415,-0.1835714285714277,7
AMPLI,6.2,6.2,6.26,6.2,6.2188888888888885,0.0,0.7027687926840259,0.003500000000000137,9
AMUN,63.75,63.66,63.75,62.2,63.08222222222222,0.14137606032045777,1.105766791030779,0.03550000000000295,9
AMUND,1.1,1.1,1.18,1.08,1.1357142857142857,0.0,4.331732728741049,-0.008928571428571416,7
ANTIN,11.5,10.74,11.66,10.74,11.275555555555554,7.076350093109868,1.9586676055493781,0.098,9
APAM,26.0,26.82,27.14,25.88,26.403333333333332,-3.057419835943327,1.5317645172445395,-0.1516666666666658,9
ARAMI,5.63,5.52,5.63,5.33,5.503333333333334,1.992753623188412,1.4470016938009544,0.02300000000000024,9
ARCAD,39.6,40.88,40.92,39.12,40.191428571428574,-3.1311154598825857,1.709052889292838,-0.2649999999999969,7
AREIT,555.0,526.0,556.0,526.0,541.1111111111111,5.513307984790875,1.3506653301093343,4.866666666666675,9
ARG,65.0,62.2,65.0,62.2,64.13888888888889,4.501607717041796,1.3108688246556757,0.2650000000000017,9
ARGX,603.6,655.8,655.8,602.6,630.4857142857144,-7.959743824336678,1.6902435657702535,-10.50714285714283,7
ARTE,11.2,10.9,11.2,10.9,11.1,2.7522935779816415,0.8293995134042709,0.04166666666666763,9
ARTO,9150.0,9000.0,9150.0,9000.0,9075.0,1.6666666666666667,0.9622504486493729,59.999999999998046,4
ARVBS,0.05,0.05,0.05,0.05,0.049999999999999996,0.0,0.0,1.1593713483437357e-18,6
ARVEN,5.1,5.04,5.26,4.96,5.0825,1.1904761904761827,2.962355079016797,0.024523809523809774,8
ASCE,49.96,49.9,50.8,49.9,50.10857142857143,0.12024048096192842,0.9587296222555615,-0.029285714285713846,7
ASM,414.0,424.1,426.4,401.7,418.0857142857143,-2.3815137939165343,3.4542526062391423,-1.524999999999985,7
ASML,637.1,680.2,683.2,625.3,659.5571428571429,-6.3363716553954745,3.3736101044562683,-8.5142857142857,7
ASRNL,59.34,57.7,59.66,57.7,58.440000000000005,2.8422876949740044,1.073315575586204,0.3142857142857201,7
ASY,46.1,44.86,46.1,43.9,44.99888888888889,2.764155149353549,1.8773861334480613,0.11150000000000095,9
ATE,66.8,65.4,67.25,63.45,65.60888888888888,2.1406727828746046,2.5577893726682754,0.22983333333333497,9
ATEB,3.27,3.02,3.27,3.02,3.1714285714285713,8.27814569536424,1.4639327870649628,0.04285714285714316,7
ATEME,5.98,5.86,6.46,5.58,6.044444444444445,2.047781569965872,5.070076573782185,0.06466666666666689,9
ATLD,44.3,44.4,44.4,44.2,44.288888888888884,-0.22522522522522842,0.18850060149605,-0.019999999999999317,9
ATO,45.165,45.634,45.634,37.6,43.14944444444445,-1.0277424727177131,8.355413155196915,0.11536666666666828,9
AUB,46.0,43.6,46.325,42.76,44.52611111111111,5.5045871559633,2.893333405627772,0.41525000000000073,9
AUGR,5.55,5.6,5.6,5.54,5.566666666666666,-0.8928571428571397,0.26932081054583423,-0.007999999999999868,9
AURE,5.92,5.82,5.92,5.72,5.8244444444444445,1.7182130584192379,1.6652936925052764,0.005333333333333587,9
AVT,0.036,0.0354,0.0376,0.034,0.035666666666666666,1.6949152542372776,3.692413595368549,0.00022000000000000128,9
AVTRI,2.5304,1.94,2.5304,1.6154,2.00245,30.432989690721662,25.054356101106208,0.20797999999999975,4
AVTX,13.88,9.214,13.954,8.542,11.093142857142857,50.64032993271109,17.066633793591706,0.9975714285714287,7
AXS,0.732,0.729,0.751,0.708,0.7332857142857143,0.41152263374485637,2.4348494438997785,-0.0032142857142857468,7
AYV,9.83,9.51,9.83,9.185,9.456777777777779,3.364879074658258,2.957729800777332,0.03188333333333399,9
AZE,12.81,11.93,12.97,11.93,12.512142857142859,7.376362112321884,2.824952613978241,0.12464285714285776,7
AZRN,1.376,1.376,1.39,1.35,1.3717142857142854,0.0,1.3828869999016173,-0.00357142857142854,7
AZRNW,0.001,0.0005,0.001,0.0005,0.0007,100.0,50.0,0.00015000000000000001,5
BAIN,105.5,107.0,107.0,104.5,105.80000000000001,-1.4018691588785046,0.9833623946881552,-0.09666666666666886,9
BALYO,0.388,0.383,0.391,0.372,0.3852222222222222,1.3054830287206278,2.6954581008401552,0.001133333333333338,9
BAMNB,7.618,7.834,7.834,7.36,7.670999999999999,-2.7572121521572543,2.56749245121358,-0.052285714285713804,7
BANI,3.14,3.16,3.44,3.14,3.2142857142857144,-0.6329113924050638,5.175067063400877,0.01785714285714296,7
BANQ,4.06,4.0,4.06,3.84,3.928571428571428,1.4999999999999902,2.379355017279497,0.013571428571428715,7
BAR,14.07,14.01,14.26,13.72,13.938571428571427,0.42826552462527123,2.198039842614697,0.03178571428571534,7
BASS,57.8,52.8,57.8,52.6,54.77777777777777,9.469696969696969,3.031075741115072,0.7533333333333366,9
BB,53.8,52.4,53.9,52.0,53.31666666666666,2.6717557251908373,1.7756937109478155,0.07833333333333416,9
BCART,0.29,0.29,0.29,0.29,0.29,0.0,0.0,4.127237413163848e-18,3
BEKB,38.46,38.0,38.65,38.0,38.31,1.210526315789476,1.076777833629983,0.06071428571428632,7
BELYS,1.03,0.89,1.08,0.89,0.980857142857143,15.730337078651688,4.825661796194117,0.02800000000000006,7
BEN,8.535,8.29,8.67,8.085,8.373777777777777,2.955367913148384,3.1660901973581934,0.013433333333333772,9
BESI,115.8,112.36,119.75,105.8,112.1042857142857,3.0615877536489835,6.228980759252953,0.7800000000000045,7
BEVER,2.8,2.8,2.8,2.8,2.8000000000000003,0.0,0.0,1.2028119102161455e-16,7
BFIT,25.68,25.28,25.68,24.46,25.230000000000004,1.5822784810126524,2.906927400041442,-0.024571428571428765,6
BIG,1.46,1.384,1.518,1.372,1.4235555555555557,5.491329479768792,3.255219805437653,0.014033333333333413,9
BIM,119.0,115.6,119.0,113.9,117.13333333333334,2.9411764705882404,1.5074193761555126,0.5883333333333354,9
BIOS,0.0028,0.0028,0.0028,0.0026,0.002688888888888889,0.0,3.999363113030972,6.454671631430879e-20,9
BLC,26.4,24.5,26.65,23.2,25.174444444444447,7.755102040816321,3.79502041885317,0.40683333333333405,9
BLEE,109.0,109.0,109.0,109.0,109.0,0.0,0.0,-1.5048460668520732e-14,4
BN,71.72,74.3,75.08,71.04,73.4125,-3.472409152086135,1.8182961061013825,-0.553095238095236,8
BNB,473.0,432.0,473.0,413.0,449.85714285714283,9.49074074074074,4.001494785396513,9.321428571428623,7
BNJ,8.84,8.96,9.0,8.66,8.87857142857143,-1.3392857142857253,2.185992495175068,4.617522542290071e-16,7
BNJW,0.25,0.25,0.25,0.25,0.25,0.0,0.0,-1.9626155733547187e-17,2
BNP,76.53,78.16,78.16,76.19,76.87777777777778,-2.0854657113613047,0.7347007316362524,-0.18133333333332816,9
BOI,21.15,23.86,23.86,21.0,22.232222222222223,-11.357921207041077,1.7308057410529685,-0.4174999999999977,9
BOL,5.025,4.88,5.025,4.854,4.939666666666667,2.9713114754098457,1.4566510635519565,0.019866666666667084,9
BON,8.09,7.56,8.09,7.56,7.777777777777778,7.010582010582015,1.3670442770221736,0.07216666666666732,9
BPOST,2.136,2.35,2.35,2.06,2.1604285714285716,-9.106382978723403,4.878825269337547,-0.03285714285714277,7
BREB,112.4,108.4,112.4,108.4,110.71428571428571,3.6900369003690034,1.1855222370389913,0.5571428571428628,7
BRNL,8.68,8.21,8.68,8.2,8.368571428571428,5.7247259439707525,1.576082988043668,0.0853571428571428,7
BSD,4.27,4.21,4.3,4.14,4.222222222222222,1.4251781472683993,1.2384836954419618,0.014666666666666604,9
BSGR,5.91,5.9,5.91,5.89,5.8999999999999995,0.1694915254237252,0.12765233483081598,0.0007142857142857141,7
BTLS,4.59,4.49,4.82,4.12,4.452857142857143,2.2271714922048917,6.489823347072784,0.03464285714285743,7
BUI,3.82,3.82,3.82,3.82,3.82,0.0,0.0,2.4582190178280176e-16,7
BUR,380.0,0.029,390.0,0.023,239.6351875,1310244.8275862068,627713.2034423158,68.38786309523807,8
BVI,26.06,26.48,26.62,25.72,26.126666666666665,-1.5861027190332393,1.1606204624291703,-0.09533333333333127,9
CA,12.36,12.13,12.41,12.13,12.292333333333334,1.8961253091508545,0.8440422186140868,0.025700000000000556,9
CABKA,1.864,1.76,1.864,1.7,1.768714285714286,5.9090909090909145,2.5082889914189317,0.016214285714285754,7
CABLE,32.04,32.89,32.914,32.04,32.6135,-2.5843721495895453,0.9118075832444903,-0.28540000000000443,4
CAF,97.0,52.65,103.92,51.45,77.45777777777778,84.23551756885091,23.543652457746546,8.033166666666665,9
CAMB,255.0,258.0,258.0,240.0,251.14285714285714,-1.1627906976744187,3.6297379803903698,-0.821428571428555,7
CAP,124.05,122.46,127.16,121.7,123.92125,1.2983831455169064,2.123556515010922,-0.21130952380951465,8
CARM,17.24,16.98,17.26,16.74,17.035555555555554,1.5312131919905654,0.9983123685276304,0.04600000000000047,9
CAT31,118.98,113.4,118.98,111.78,114.66444444444444,4.920634920634919,2.0145174341606986,0.8756666666666756,9
CBDG,98.5,97.0,98.5,96.0,97.44444444444444,1.5463917525773196,0.8240231017938711,0.2583333333333311,9
CBE,700.0,719.4,719.4,696.9,703.6111111111111,-2.6966916875173728,1.13815216147115,-2.1083333333333125,9
CBOT,3.62,3.67,3.67,3.61,3.6355555555555554,-1.362397820163483,0.5482058750692198,-0.0034999999999998114,9
CBR,96.0,96.0,96.0,96.0,96.0,0.0,0.0,4.7905812956903255e-15,3
CBSM,9.0,9.06,9.06,8.95,8.973333333333334,-0.6622516556291446,0.44537622726403897,-0.004166666666666573,9
CCEP,75.7,76.0,77.5,74.0,75.88571428571429,-0.39473684210525944,2.4769957819445625,-0.13571428571428168,7
CCN,128.2,126.0,132.0,124.56,127.77333333333334,1.7460317460317372,2.3012453765695797,0.7566666666666695,9
CDA,22.25,21.0,22.5,20.5,21.392222222222223,5.952380952380952,3.702009803471887,0.24400000000000127,9
CDI,482.0,469.6,497.4,468.8,480.4888888888888,2.6405451448040838,2.4387374942834534,2.5700000000000087,9
CEN,62.4,60.4,62.4,60.4,61.57777777777778,3.3112582781456954,0.7361521949161752,0.2966666666666701,9
CENER,10.6,10.82,10.84,10.38,10.634285714285713,-2.0332717190388228,2.003780438145089,-0.01285714285714265,7
CFEB,8.6,9.2,9.32,8.6,9.022857142857143,-6.52173913043478,2.4400741356656837,-0.11357142857142843,7
CFI,1.76,3.66,3.66,1.76,2.5011111111111113,-51.91256830601093,11.714004112649805,-0.26466666666666644,9
CGM,10.65,10.75,10.8,10.65,10.715,-0.9302325581395315,1.4277644260409823,-0.01600000000000178,4
CHSR,7.0,15.548,15.572,7.0,11.271666666666667,-54.97813223565732,24.511235928386228,-2.1990285714285718,6
CIV,112.0,105.52,118.84,105.0,110.61555555555555,6.141015921152392,5.3816633337025435,1.5296666666666727,9
CLA,1.782,1.758,1.782,1.584,1.6824444444444444,1.3651877133105814,4.39409977063988,0.011500000000000012,9
CLARI,4.406,4.012,4.406,3.906,4.123888888888889,9.820538384845467,3.287704398909769,0.061833333333333435,9
CLEX,0.755,0.756,0.756,0.755,0.7553333333333333,-0.1322751322751324,0.09353264301409064,-0.0004999999999999684,3
CMBT,7.34,8.15,8.46,7.04,7.757142857142857,-9.938650306748471,4.640187096675291,-0.2085714285714283,7
CMCOM,4.514,4.554,4.67,4.51,4.5840000000000005,-0.8783487044356617,1.7637748393689368,-0.016785714285714137,7
CMO,107.0,105.0,112.0,104.38,107.66000000000001,1.9047619047619049,3.350676646834451,0.7160000000000045,9
CNDF,23.175,23.0,23.93,21.975,23.145111111111113,0.7608695652173944,3.7419487352739136,0.10280000000000017,9
CO,0.614,0.5224,0.614,0.508,0.5533777777777779,17.53445635528331,5.197618395055068,0.013206666666666672,9
COBS3,0.528,0.5224,0.528,0.508,0.51835,1.0719754977029192,3.074459693112097,0.0009799999999999518,4
COFA,16.11,15.6,16.13,15.4,15.75,3.269230769230768,1.7856919726463731,0.0958333333333338,9
COFB,77.04,72.9,77.04,72.9,74.75142857142859,5.679012345679013,1.007191915148801,0.5910714285714299,7
COH,8.5,0.02,8.8,0.02,7.2,42400.0,19185.586725030462,1.2262857142857138,6
COLR,37.7,37.32,38.16,37.32,37.74714285714286,1.0182207931404141,1.2654406206844862,0.01142857142857222,7
COMB,264.0,261.0,264.0,252.0,258.7142857142857,1.1494252873563218,1.9797060237151476,0.07142857142858397,7
COTY,3.561,4.09,4.37,3.561,3.9186222222222225,-12.933985330073346,6.434335022675198,-0.09725333333333315,9
COUR,121.0,121.0,121.0,121.0,121.0,0.0,0.0,-1.729998432734137e-14,5
COV,56.3,56.06,56.3,55.65,56.00888888888889,0.4281127363538974,0.642978410374614,0.030333333333335547,9
COVH,23.0,24.5,24.5,23.0,23.56666666666667,-6.122448979591836,1.1399074836730052,-0.18833333333333163,9
CPINV,12.56,12.1,12.56,12.1,12.308571428571428,3.801652892561991,0.6822680934101771,0.07071428571428555,7
CRAP,139.0,140.0,147.98,133.0,141.3625,-0.7142857142857143,5.6429589899686725,0.3573809523809711,8
CRAV,140.38,141.0,150.24,140.38,145.74666666666664,-0.43971631205674083,3.4784584501297724,0.5183333333333374,9
CRBN,17.245,17.17,17.66,17.16,17.363571428571426,0.43680838672102085,1.4147596277875871,-0.025535714285714092,7
CRBP2,26.1,27.136,27.286,25.7,26.795222222222222,-3.817806603773577,2.9140896258950053,-0.0662166666666655,9
CRI,10.7,11.36,11.52,10.7,11.144444444444444,-5.809859154929579,2.5930222833675933,-0.12033333333333303,9
CRLA,85.0,80.0,94.38,79.0,83.97777777777777,6.25,5.750394569416372,1.4408333333333385,9
CRLO,101.0,92.9,101.5,92.2,97.02777777777777,8.719052744886968,3.4387633021963007,1.3450000000000049,9
CROS,10.7,10.1,10.7,10.1,10.614285714285714,5.940594059405938,2.425237369092258,0.06428571428571471,7
CRSU,220.0,189.74,228.2,187.2,204.6988888888889,15.948139559397065,5.781620606143589,5.226500000000003,9
CRTO,123.0,118.48,124.74,116.5,121.16444444444444,3.8149898717083017,3.1186565941554494,0.8703333333333368,9
CS,39.92,39.97,39.97,39.33,39.75555555555556,-0.12509382036526687,0.7510631840544383,-0.0021666666666657923,9
CTAC,3.28,3.33,3.35,3.28,3.3185714285714285,-1.5015015015015094,0.6684317686329464,-0.010000000000000024,7
CTPNV,18.44,17.9,18.68,17.9,18.214285714285715,3.016759776536328,2.0871117042353733,0.09214285714285866,7
CV,0.33,0.2,0.33,0.2,0.27428571428571435,65.0,26.53613888015109,0.027857142857142858,7
CVC,17.32,15.29,17.52,15.11,16.110000000000003,13.276651406147819,4.106171500242332,0.45142857142857296,7
CYAD,0.33,0.309,0.336,0.3,0.31177777777777776,6.796116504854376,5.717881649742174,0.002583333333333358,9
DBG,5.92,5.07,6.002,5.07,5.513777777777778,16.76528599605522,5.076465065413648,0.14243333333333333,9
DBV,1.582,1.578,1.59,1.48,1.5505555555555557,0.25348542458808637,2.314775767391329,0.008533333333333356,9
DEC,14.93,15.22,15.22,14.53,14.917222222222222,-1.9053876478318064,1.500641903823832,-0.0501666666666654,9
DECB,2.12,2.084,2.12,2.075,2.095571428571428,1.7274472168905965,0.9314967161459232,0.002892857142857266,7
DEEZR,1.185,1.17,1.216,1.16,1.183,1.2820512820512928,2.0997197607651317,-0.00023333333333330693,9
DEME,130.6,124.8,132.4,124.2,127.34285714285716,4.647435897435895,1.9370108269186639,1.257142857142861,7
DG,115.7,118.36,118.36,114.3,116.45999999999998,-2.2473808719161847,1.1952928408519226,-0.27833333333332566,9
DGB,0.606,0.61,0.614,0.598,0.608,-0.6557377049180334,1.5515584508598166,-0.0006428571428571248,7
DIE,184.3,165.9,187.9,160.15,171.82142857142858,11.091018685955397,5.568824437717046,4.271428571428584,7
DIEG,115.0,111.0,115.0,111.0,112.2,3.6036036036036037,2.3137870416526747,0.7999999999999897,5
DIM,174.5,174.7,175.78,173.76,174.72500000000002,-0.11448196908986186,0.44559069042265453,0.058416666666677386,9
DISL,206.0,214.0,226.0,206.0,215.33333333333334,-3.7383177570093453,10.222666888711318,-4.000000000000005,3
DKUPL,28.2,25.6,28.5,25.6,26.9,10.156249999999991,3.582596517752557,0.3666666666666666,9
DPAM,935.0,956.0,980.0,906.0,950.6666666666666,-2.1966527196652716,2.6854991509714825,-7.416666666666596,9
DPT,0.0996,0.0994,0.1,0.0994,0.09966666666666668,0.20120724346075636,0.2258179245732909,7.333333333333311e-05,9
